-----------------------------------------------------
|--------Sq. Ft.--------||--------CO2 Output--------|
|-----------------------||--------------------------|
|         100     ||           13400          |
|-----------------------||--------------------------|
|         200		 ||           26800          |
|-----------------------||--------------------------|
|         300		 ||           40200          |
|-----------------------||--------------------------|
|         400		 ||           53600          |
|-----------------------||--------------------------|
|         500		 ||           67000          |
|-----------------------||--------------------------|
|         600	 	 ||           80400          |
|-----------------------||--------------------------|
|         700		 ||           93800          |
|-----------------------||--------------------------|
|         800		 ||          107200          |
|-----------------------||--------------------------|
|         900		 ||          120600          |
|-----------------------||--------------------------|
|        1000		 ||          134000          |
|-----------------------||--------------------------|
|        1100		 ||          147400          |
|-----------------------||--------------------------|
|        1200		 ||          160800          |
|-----------------------||--------------------------|
|        1300		 ||          174200          |
|-----------------------||--------------------------|
|        1400	 	 ||          187600          |
|-----------------------||--------------------------|
|        1500		 ||          201000          |
|-----------------------||--------------------------|
|        1600		 ||          214400          |
|-----------------------||--------------------------|
|        1700		 ||          227800          |
|-----------------------||--------------------------|
|        1800		 ||          241200          |
|-----------------------||--------------------------|
|        1900		 ||          254600          |
|-----------------------||--------------------------|
|        2000		 ||          268000          |
|-----------------------||--------------------------|
|        2100		 ||          281400          |
|-----------------------||--------------------------|
|        2200		 ||          294800          |
|-----------------------||--------------------------|
|        2300		 ||          308200          |
|-----------------------||--------------------------|
|        2400		 ||          321600          |
|-----------------------||--------------------------|
|        2500		 ||          335000          |
|-----------------------||--------------------------|
|        2600	 	 ||          348400          |
|-----------------------||--------------------------|
|        2700		 ||          361800          |
|-----------------------||--------------------------|
|        2800		 ||          375200          |
|-----------------------||--------------------------|
|        2900		 ||          388600          |
|-----------------------||--------------------------|
|        3000		 ||          402000          |
|-----------------------||--------------------------|
|        3100		 ||          415400          |
|-----------------------||--------------------------|
|        3200		 ||          428800          |
|-----------------------||--------------------------|
|        3300		 ||          442200          |
|-----------------------||--------------------------|
|        3400		 ||          455600          |
|-----------------------||--------------------------|
|        3500		 ||          469000          |
|-----------------------||--------------------------|
|        3600		 ||          482400          |
|-----------------------||--------------------------|
|        3700		 ||          495800          |
|-----------------------||--------------------------|
|        3800		 ||          509200          |
|-----------------------||--------------------------|
|        3900		 ||          522600          |
|-----------------------||--------------------------|
|        4000		 ||          536000          |
|-----------------------||--------------------------|
|        4100		 ||          549400          |
|-----------------------||--------------------------|
|        4200		 ||          562800          |
|-----------------------||--------------------------|
|        4300		 ||          576200          |
|-----------------------||--------------------------|
|        4400		 ||          589600          |
|-----------------------||--------------------------|
|        4500		 ||          603000          |
|-----------------------||--------------------------|
|        4600		 ||          616400          |
|-----------------------||--------------------------|
|        4700		 ||          629800          |
|-----------------------||--------------------------|
|        4800		 ||          643200          |
|-----------------------||--------------------------|
|        4900		 ||          656600          |
|-----------------------||--------------------------|
|        5000		 ||          670000          |
|-----------------------||--------------------------|
|        5100		 ||          683400          |
|-----------------------||--------------------------|
|        5200		 ||          696800          |
|-----------------------||--------------------------|
|        5300		 ||          710200          |
|-----------------------||--------------------------|
|        5400		 ||          723600          |
|-----------------------||--------------------------|
|        5500		 ||          737000          |
|-----------------------||--------------------------|
|        5600		 ||          750400          |
|-----------------------||--------------------------|
|        5700		 ||          763800          |
|-----------------------||--------------------------|
|        5800		 ||          777200          |
|-----------------------||--------------------------|
|        5900		 ||          790600          |
|-----------------------||--------------------------|
|        6000		 ||          804000          |
|-----------------------||--------------------------|
|        6100		 ||          817400          |
|-----------------------||--------------------------|
|        6200		 ||          830800          |
|-----------------------||--------------------------|
|        6300		 ||          844200          |
|-----------------------||--------------------------|
|        6400		 ||          857600          |
|-----------------------||--------------------------|
|        6500		 ||          871000          |
|-----------------------||--------------------------|
|        6600		 ||          884400          |
|-----------------------||--------------------------|
|        6700		 ||          897800          |
|-----------------------||--------------------------|
|        6800		 ||          911200          |
|-----------------------||--------------------------|
|        6900		 ||          924600          |
|-----------------------||--------------------------|
|        7000		 ||          938000          |
|-----------------------||--------------------------|
|        7100		 ||          951400          |
|-----------------------||--------------------------|
|        7200		 ||          964800          |
|-----------------------||--------------------------|
|        7300		 ||          978200          |
|-----------------------||--------------------------|
|        7400		 ||          991600          |
|-----------------------||--------------------------|
|        7500		 ||         1005000          |
|-----------------------||--------------------------|
|        7600		 ||         1018400          |
|-----------------------||--------------------------|
|        7700		 ||         1031800          |
|-----------------------||--------------------------|
|        7800		 ||         1045200          |
|-----------------------||--------------------------|
|        7900		 ||         1058600          |
|-----------------------||--------------------------|
|        8000		 ||         1072000          |
|-----------------------||--------------------------|
|        8100		 ||         1085400          |
|-----------------------||--------------------------|
|        8200		 ||         1098800          |
|-----------------------||--------------------------|
|        8300		 ||         1112200          |
|-----------------------||--------------------------|
|        8400		 ||         1125600          |
|-----------------------||--------------------------|
|        8500		 ||         1139000          |
|-----------------------||--------------------------|
|        8600		 ||         1152400          |
|-----------------------||--------------------------|
|        8700		 ||         1165800          |
|-----------------------||--------------------------|
|        8800		 ||         1179200          |
|-----------------------||--------------------------|
|        8900		 ||         1192600          |
|-----------------------||--------------------------|
|        9000		 ||         1206000          |
|-----------------------||--------------------------|
|        9100		 ||         1219400          |
|-----------------------||--------------------------|
|        9200		 ||         1232800          |
|-----------------------||--------------------------|
|        9300		 ||         1246200          |
|-----------------------||--------------------------|
|        9400		 ||         1259600          |
|-----------------------||--------------------------|
|        9500		 ||         1273000          |
|-----------------------||--------------------------|
|        9600		 ||         1286400          |
|-----------------------||--------------------------|
|        9700		 ||         1299800          |
|-----------------------||--------------------------|
|        9800		 ||         1313200          |
|-----------------------||--------------------------|
|        9900		 ||         1326600          |
|-----------------------||--------------------------|
|       10000		 ||         1340000          |
|-----------------------||--------------------------|
